R' D F2 B2
R' D B2 F2
L2 R U' L2 R2
L2 R U' R2 L2
R L2 U' L2 R2
U L2 R U' R2
R L2 U' R2 L2
R' U L2 R2 U'
R' U R2 L2 U'
U R L2 U' R2
D R' F2 D B2
R' D F2 B2 D
R' D F2 B2 D'
R' D F2 B2 D2
R' D B2 F2 D
R' D B2 F2 D'
R' D B2 F2 D2
R' F D F2 B2
R' F D B2 F2
F D R' F2 B
F D R' B F2
R' F' D F2 B2
R' F' D B2 F2
F D F2 R' B
R' F2 D F2 B2
R' F2 D B2 F2
R' B D F2 B2
R' B D B2 F2
R' B' D F2 B2
R' B' D B2 F2
R' B2 D F2 B2
R' B2 D B2 F2
R' D R F2 R2 B2 R
L2 D R U' R2 D' L2
R2 D R U R2 U' F2
L2 D R U2 F2 U R2
L2 D R D' F2 U' L2
L' D R' L D F2 B2
L' D R' L D B2 F2
R2 D R D B2 D' F2
L D R L U' L2 R2
L D R L U' R2 L2
R2 D R F D F B2
R2 D R F D B2 F
R2 D R F' D F' B2
R2 D R F' D B2 F'
R2 D R F2 U R2 U'
R2 D R F2 D B2 D
R2 D R F2 D B2 D'
R2 D R F2 D B2 D2
R2 D R F2 B D B2
R2 D R F2 B' D B2
R2 D R F2 B2 D B2
R2 D R B F2 D B2
R2 D R B' F2 D B2
R' D R' B' R F2 B'
R' D R' B' R B' F2
R2 D R B2 F2 D B2
R' D R' B2 R F2 D
R' D R' B2 R F2 D'
R' D R' B2 R F2 D2
R' D R' B2 R' F2 R2
R' D R' B2 R2 F2 R'
L D R' L' D F2 B2
L D R' L' D B2 F2
R' D R2 F R2 F B2
R' D R2 F R2 B2 F
R' D R2 F B2 R2 F
R2 D R' F2 R2 D B2
R' D R2 F2 R B2 R
R' D R2 F2 R2 B2 D
R' D R2 F2 R2 B2 D'
R' D R2 F2 R2 B2 D2
R' D R2 F2 B' R2 B'
R' D R2 F2 B2 R2 D
R' D R2 F2 B2 R2 D'
R' D R2 F2 B2 R2 D2
R' D R2 B' R2 F2 B'
R' D R2 B' R2 B' F2
R' D R2 B' F2 R2 B'
R' D R2 B2 R' F2 R'
R' D R2 B2 R2 F2 D
R' D R2 B2 R2 F2 D'
R' D R2 B2 R2 F2 D2
R' D R2 B2 F R2 F
R' D R2 B2 F2 R2 D
R' D R2 B2 F2 R2 D'
R' D R2 B2 F2 R2 D2
R' D U L U' F2 B2
R' D U L U' B2 F2
R' D U L' U' F2 B2
R' D U L' U' B2 F2
R' D U L2 U' F2 B2
R' D U L2 U' B2 F2
R' D U R U' F2 B2
R' D U R U' B2 F2
R' D U R' U' F2 B2
R' D U R' U' B2 F2
R' D U R2 U' F2 B2
R' D U R2 U' B2 F2
D2 R2 B2 L U L' R
D2 R2 B2 L U R L'
R' D U' L U F2 B2
R' D U' L U B2 F2
R' D U' L' U F2 B2
R' D U' L' U B2 F2
R' D U' L2 U F2 B2
R' D U' L2 U B2 F2
R' D U' R U F2 B2
R' D U' R U B2 F2
R' D U' R' U F2 B2
R' D U' R' U B2 F2
R' D U' R2 U F2 B2
R' D U' R2 U B2 F2
R2 D U R' U' R2 F2
R2 D U R' U' F2 R2
R' D U2 F U2 F B2
R' D U2 F U2 B2 F
R' D U2 F' U2 F' B2
R' D U2 F' U2 B2 F'
R' D U2 B U2 F2 B
R' D U2 B U2 B F2
R' D U2 B' U2 F2 B'
R' D U2 B' U2 B' F2
R' D F L B2 L' F
D U L R U' R2 F2
D U L R U' F2 R2
R' D F R F R' B2
R' D F R' B2 R F
R' D F R2 F R2 B2
R' D F R2 F B2 R2
R' D F R2 B2 R2 F
R' D F R2 B2 F R2
U D L R U' R2 F2
U D L R U' F2 R2
R D U' F2 D' L2 R2
L2 D U2 F2 L' U R'
R D U' F2 D' R2 L2
R' D F D F D' B2
R D U' B2 U F2 B2
R D U' B2 U B2 F2
R' D F D' F D B2
R' D F B D F B
R' D F B D B F
R' D F B D' F B
R' D F B D' B F
R' D F B D2 F B
R' D F B D2 B F
R' D F B' D F B'
R' D F B' D B' F
R' D F B' D' F B'
R' D F B' D' B' F
R' D F B' D2 F B'
R' D F B' D2 B' F
R' D F B2 R F R'
R' D F B2 R2 F R2
R' D F B2 D F D
R' D F B2 D F D'
R' D F B2 D F D2
R' D F B2 D' F D
R' D F B2 D' F D'
R' D F B2 D' F D2
R' D F B2 D2 F D
R' D F B2 D2 F D'
R' D F B2 D2 F D2
R' D F' L B2 L' F'
D U L' R U' R2 F2
D U L' R U' F2 R2
R' D F' L' F' L B2
R' D F' L2 F' L2 B2
R' D F' L2 F' B2 L2
R' D F' L2 B2 L2 F'
R' D F' L2 B2 F' L2
R' D F' R' B2 R F'
B2 U L2 R U L' U2
U D L' R U' R2 F2
U D L' R U' F2 R2
F' U L2 U' D2 R' B
B2 U L2 R F2 U' R
R' D F' D F' D' B2
B' U L2 D' R F' U'
R' D F' D' F' D B2
F' U L2 D2 U' R' B
F2 U L2 U2 L U R'
R' D F' B D F' B
R' D F' B D B F'
R' D F' B D' F' B
R' D F' B D' B F'
R' D F' B D2 F' B
R' D F' B D2 B F'
R' D F' B' D F' B'
R' D F' B' D B' F'
R' D F' B' D' F' B'
R' D F' B' D' B' F'
R' D F' B' D2 F' B'
R' D F' B' D2 B' F'
R' D F' B2 L' F' L
R' D F' B2 L2 F' L2
R' D F' B2 D F' D
R' D F' B2 D F' D'
R' D F' B2 D F' D2
R' D F' B2 D' F' D
R' D F' B2 D' F' D'
R' D F' B2 D' F' D2
R' D F' B2 D2 F' D
R' D F' B2 D2 F' D'
R' D F' B2 D2 F' D2
R' D F2 L B L' B
R' D F2 L B2 L' D
R' D F2 L B2 L' D'
R' D F2 L B2 L' D2
R' D F2 L B2 D L'
R' D F2 L B2 D' L'
R' D F2 L B2 D2 L'
D U L2 R U' R2 F2
D U L2 R U' F2 R2
B U L2 R U2 B U
B U L2 R' F' R2 U'
R' D F2 L2 B L2 B
R' D F2 L2 B2 L2 D
R' D F2 L2 B2 L2 D'
R' D F2 L2 B2 L2 D2
R' D F2 R' B' R B'
R' D F2 R' B2 R D
R' D F2 R' B2 R D'
R' D F2 R' B2 R D2
R' D F2 R' B2 D R
R' D F2 R' B2 D' R
R' D F2 R' B2 D2 R
D' U R U B2 U2 R2
D' U R U' R2 D2 F2
R' D F2 R2 B' R2 B'
R' D F2 R2 B2 R2 D
R' D F2 R2 B2 R2 D'
R' D F2 R2 B2 R2 D2
R' D F2 U R U' B2
R' D F2 U R' U' B2
R' D F2 U R2 U' B2
R' D F2 U D' R2 U'
R' D F2 U' L U B2
R' D F2 U' L' U B2
R' D F2 U' L2 U B2
D2 U R U2 R U R
R' D F2 U' D L2 U
U D L2 R U' R2 F2
U D L2 R U' F2 R2
R' D F2 U2 D2 F2 U2
B2 U R L2 U L' U2
R' D F2 U2 F U2 B2
R' D F2 U2 F' U2 B2
R' D F2 U2 F2 U2 B2
B2 U R L2 F2 U' R
R' D F2 D U' L2 U
F U L2 U' D R' B
R' D F2 D B D' B2
D2 U R D' F2 L' U'
R' D F2 D B' D' B2
R' D F2 D B2 D' B2
R' D F2 D' U R2 U'
R' D F2 D' B D B2
R' D F2 D' B' D B2
R' D F2 D' B2 D B2
R' D F2 D2 U2 F2 U2
F U L2 D U' R' B
R' D F2 D2 B D2 B2
R' D F2 D2 B' D2 B2
R' D F2 D2 B2 D2 B2
R' D F2 B L B L'
R' D F2 B L2 B L2
R' D F2 B D B D
R' D F2 B D B D'
R' D F2 B D B D2
R' D F2 B D' B D
R' D F2 B D' B D'
R' D F2 B D' B D2
R' D F2 B D2 B D
R' D F2 B D2 B D'
R' D F2 B D2 B D2
R' D F2 B' R' B' R
R' D F2 B' R2 B' R2
D2 U R F2 L' U' R2
R' D F2 B' D B' D
R' D F2 B' D B' D'
R' D F2 B' D B' D2
R' D F2 B' D' B' D
R' D F2 B' D' B' D'
R' D F2 B' D' B' D2
R' D F2 B' D2 B' D
R' D F2 B' D2 B' D'
R' D F2 B' D2 B' D2
R' D F2 B2 L D L'
R' D F2 B2 L D' L'
R' D F2 B2 L D2 L'
U2 D R U' R2 F2 L'
R' D F2 B2 L' D L
R' D F2 B2 L' D' L
R' D F2 B2 L' D2 L
R' D F2 B2 R D R'
R' D F2 B2 R D' R'
R' D F2 B2 R D2 R'
R' D F2 B2 R' D R
R' D F2 B2 R' D' R
R' D F2 B2 R' D2 R
R' D B L B L' F2
F U L2 F' R U' R2
D U R L U' R2 F2
D U R L U' F2 R2
R' D B L' F2 L B
D U R L' U' R2 F2
D U R L' U' F2 R2
R' D B L2 F2 L2 B
R' D B L2 F2 B L2
B U R L2 U2 B U
R' D B L2 B L2 F2
R' D B L2 B F2 L2
D U R L2 U' R2 F2
D U R L2 U' F2 R2
R' D B R F2 R' B
D U R U' R' F2 R'
D U R U' R2 F2 D
D U R U' R2 F2 D'
D U R U' R2 F2 D2
D U R U' F R2 F
D U R U' F2 R2 D
D U R U' F2 R2 D'
D U R U' F2 R2 D2
U D R L U' R2 F2
U D R L U' F2 R2
D U R D' L2 F2 U'
U D R L' U' R2 F2
U D R L' U' F2 R2
D U R D' F2 L2 U'
U D R L2 U' R2 F2
U D R L2 U' F2 R2
R' D B D B D' F2
D U R F U' R2 F
D U R F U' F R2
R' D B D' B D F2
U D R U' R' F2 R'
D U R F' U' F' R2
U D R U' R2 F2 D
U D R U' R2 F2 D'
U D R U' R2 F2 D2
U D R U' F R2 F
U D R U' F2 R2 D
U D R U' F2 R2 D'
U D R U' F2 R2 D2
R' D B F D F B
R' D B F D B F
R' D B F D' F B
R' D B F D' B F
R' D B F D2 F B
R' D B F D2 B F
R' D B F' D F' B
R' D B F' D B F'
R' D B F' D' F' B
R' D B F' D' B F'
R' D B F' D2 F' B
R' D B F' D2 B F'
U D R D' L2 F2 U'
R' D B F2 L B L'
R' D B F2 L2 B L2
U D R D' F2 L2 U'
R' D B F2 D B D
R' D B F2 D B D'
R' D B F2 D B D2
R' D B F2 D' B D
R' D B F2 D' B D'
R' D B F2 D' B D2
R' D B F2 D2 B D
R' D B F2 D2 B D'
R' D B F2 D2 B D2
U D R F U' R2 F
U D R F U' F R2
R' D B' L' F2 L B'
U D R F' U' F' R2
R D F2 U' B2 U B2
B U R' L2 F' R2 U'
R' D B' R F2 R' B'
R' D B' R' B' R F2
R D F2 D' R2 D B2
U2 D R' F2 L' D B2
R' D B' R2 F2 R2 B'
R' D B' R2 F2 B' R2
R' D B' R2 B' R2 F2
R' D B' R2 B' F2 R2
U2 D R' F2 D L' B2
U2 D R' F2 D B2 L'
R' D B' D B' D' F2
B U R' F' L2 R2 U'
B U R' F' R2 L2 U'
R' D B' D' B' D F2
R' D B' F D F B'
R' D B' F D B' F
R' D B' F D' F B'
R' D B' F D' B' F
R' D B' F D2 F B'
R' D B' F D2 B' F
R' D B' F' D F' B'
R' D B' F' D B' F'
R' D B' F' D' F' B'
R' D B' F' D' B' F'
R' D B' F' D2 F' B'
R' D B' F' D2 B' F'
R' D B' F2 R' B' R
R' D B' F2 R2 B' R2
R' D B' F2 D B' D
R' D B' F2 D B' D'
R' D B' F2 D B' D2
R' D B' F2 D' B' D
R' D B' F2 D' B' D'
R' D B' F2 D' B' D2
R' D B' F2 D2 B' D
R' D B' F2 D2 B' D'
R' D B' F2 D2 B' D2
R' D B2 L' F' L F'
R' D B2 L' F2 L D
R' D B2 L' F2 L D'
R' D B2 L' F2 L D2
R' D B2 L' F2 D L
R' D B2 L' F2 D' L
R' D B2 L' F2 D2 L
R' D B2 L2 F' L2 F'
R' D B2 L2 F2 L2 D
R' D B2 L2 F2 L2 D'
R' D B2 L2 F2 L2 D2
R' D B2 R F R' F
R' D B2 R F2 R' D
R' D B2 R F2 R' D'
R' D B2 R F2 R' D2
R' D B2 R F2 D R'
R' D B2 R F2 D' R'
R' D B2 R F2 D2 R'
R' D B2 R2 F R2 F
R' D B2 R2 F2 R2 D
R' D B2 R2 F2 R2 D'
R' D B2 R2 F2 R2 D2
R' D B2 U L U' F2
R' D B2 U L' U' F2
R' D B2 U L2 U' F2
R' D B2 U D' L2 U'
R' D B2 U' R U F2
R' D B2 U' R' U F2
R' D B2 U' R2 U F2
R' D B2 U' D R2 U
R' D B2 U2 D2 B2 U2
R' D B2 U2 B U2 F2
R' D B2 U2 B' U2 F2
R' D B2 U2 B2 U2 F2
R' D B2 D U' R2 U
R' D B2 D F D' F2
R' D B2 D F' D' F2
R' D B2 D F2 D' F2
R' D B2 D' U L2 U'
R' D B2 D' F D F2
R' D B2 D' F' D F2
R' D B2 D' F2 D F2
R' D B2 D2 U2 B2 U2
R' D B2 D2 F D2 F2
R' D B2 D2 F' D2 F2
R' D B2 D2 F2 D2 F2
R' D B2 F R F R'
R' D B2 F R2 F R2
R' D B2 F D F D
R' D B2 F D F D'
R' D B2 F D F D2
R' D B2 F D' F D
R' D B2 F D' F D'
R' D B2 F D' F D2
R' D B2 F D2 F D
R' D B2 F D2 F D'
R' D B2 F D2 F D2
R' D B2 F' L' F' L
R' D B2 F' L2 F' L2
R' D B2 F' D F' D
R' D B2 F' D F' D'
R' D B2 F' D F' D2
R' D B2 F' D' F' D
R' D B2 F' D' F' D'
R' D B2 F' D' F' D2
R' D B2 F' D2 F' D
R' D B2 F' D2 F' D'
R' D B2 F' D2 F' D2
R' D B2 F2 L D L'
R' D B2 F2 L D' L'
R' D B2 F2 L D2 L'
R' D B2 F2 L' D L
R' D B2 F2 L' D' L
R' D B2 F2 L' D2 L
R' D B2 F2 R D R'
R' D B2 F2 R D' R'
R' D B2 F2 R D2 R'
R' D B2 F2 R' D R
R' D B2 F2 R' D' R
R' D B2 F2 R' D2 R
L' D' L R' D F2 B2
L' D' L R' D B2 F2
R' D' L D2 L' F2 B2
R' D' L D2 L' B2 F2
R' D' L D2 B2 L' F2
L' D' L' R U' L2 R2
L' D' L' R U' R2 L2
R' D' L' D2 L F2 B2
R' D' L' D2 L B2 F2
R' D' L' D2 F2 L B2
L D' L R U' L2 R2
L D' L R U' R2 L2
L D' L' R' D F2 B2
L D' L' R' D B2 F2
L' D' R L' U' L2 R2
L' D' R L' U' R2 L2
R' D' R D2 R' F2 B2
R' D' R D2 R' B2 F2
R' D' R D2 F2 R' B2
L2 D' R U' R2 D L2
F U F' L2 R U' R2
F2 U F2 L2 R U' R2
F U F' R L2 U' R2
L' D' R' L D F2 B2
L' D' R' L D B2 F2
F2 U F2 R L2 U' R2
R2 D' R D B2 D F2
L2 D' R F B2 U' R2
R' D' R' D2 R F2 B2
R' D' R' D2 R B2 F2
R' D' R' D2 B2 R F2
L2 D' R F' B2 U' R2
R2 D' R D2 F2 D' B2
L D' R L U' L2 R2
L D' R L U' R2 L2
L2 D' R F2 B2 U' R2
L2 D' R B2 U' R2 D
L2 D' R B2 U' R2 D'
L2 D' R B2 U' R2 D2
L2 D' R B2 D' F2 U'
L2 D' R B2 F U' R2
L2 D' R B2 F' U' R2
L2 D' R B2 F2 U' R2
L D' R' L' D F2 B2
L D' R' L' D B2 F2
L2 D' R' B2 R2 U' R2
L2 D' U' R' D L2 B2
L2 D' U' R' D B2 L2
R' D' U2 F2 U2 D2 F2
R' D' U2 F2 D2 U2 F2
R' D' U2 F2 B2 U2 D
R' D' U2 F2 B2 U2 D'
R' D' U2 F2 B2 U2 D2
R' D' U2 F2 B2 D U2
R' D' U2 F2 B2 D' U2
R' D' U2 F2 B2 D2 U2
R' D' U2 B2 U2 D2 B2
R' D' U2 B2 D2 U2 B2
R' D' U2 B2 F2 U2 D
R' D' U2 B2 F2 U2 D'
R' D' U2 B2 F2 U2 D2
R' D' U2 B2 F2 D U2
R' D' U2 B2 F2 D' U2
R' D' U2 B2 F2 D2 U2
R' D' F L2 B' L2 F
R' D' F U2 F B2 U2
R' D' F U2 B2 F U2
F2 U' L' U2 L' U' R'
U D' R U B2 U2 R2
U D' R U' R2 D2 F2
R' D' F' R2 B R2 F'
R' D' F' U2 F' B2 U2
R' D' F' U2 B2 F' U2
D2 U' R2 U R D B2
D2 U' R2 U2 R' U' R2
D2 U' R2 B U R B
D2 U' R2 B2 L U R
R' D' F2 U2 B2 U2 B2
R' D' F2 D2 F2 D2 B2
R' D' B R2 F' R2 B
R' D' B U2 F2 B U2
R' D' B U2 B F2 U2
R' D' B' L2 F L2 B'
R D' F2 D L2 U' L2
R' D' B' U2 F2 B' U2
R' D' B' U2 B' F2 U2
R' D' B2 U2 F2 U2 F2
F2 U' D L' U R' F2
F2 U' D L' U F2 R'
R' D' B2 D2 B2 D2 F2
L2 D' B2 R U L U2
L' D2 L R' D F2 B2
L' D2 L R' D B2 F2
L' D2 L' R U' L2 R2
L' D2 L' R U' R2 L2
F2 U' D2 L' R2 U R
F2 U' D2 R2 L' U R
L D2 L R U' L2 R2
L D2 L R U' R2 L2
R' D2 L2 R2 U L2 R2
R' D2 L2 R2 U R2 L2
U2 D' B2 L U' R U'
L D2 L' R' D F2 B2
L D2 L' R' D B2 F2
L' D2 R L' U' L2 R2
L' D2 R L' U' R2 L2
L2 D2 R U R U2 R
L' D2 R' L D F2 B2
L' D2 R' L D B2 F2
L2 D2 R D' F2 U' L'
L2 D2 R F2 U' L' R2
L2 D2 R F2 U' R2 L'
L D2 R L U' L2 R2
L D2 R L U' R2 L2
R' D2 R2 L2 U L2 R2
R' D2 R2 L2 U R2 L2
L D2 R' L' D F2 B2
L D2 R' L' D B2 F2
R' D2 U' L2 R2 U D
R' D2 U' L2 R2 U D'
R' D2 U' L2 R2 U D2
R' D2 U' L2 R2 D U
R' D2 U' L2 R2 D' U
R' D2 U' L2 R2 D2 U
R' D2 U' L2 U D' F2
R' D2 U' L2 D' U F2
D U2 R U' R2 F2 L'
R' D2 U' R2 L2 U D
R' D2 U' R2 L2 U D'
R' D2 U' R2 L2 U D2
R' D2 U' R2 L2 D U
R' D2 U' R2 L2 D' U
R' D2 U' R2 L2 D2 U
R' D2 U' R2 U D' B2
R' D2 U' R2 D' U B2
U D2 R U2 R U R
U' D2 R2 U R D B2
U D2 R D' F2 L' U'
U' D2 R2 U2 R' U' R2
U D2 R F2 L' U' R2
L2 D2 U' R' D B2 L
B2 U2 L U' L R U'
B2 U2 L U' R L U'
U' D2 R2 B U R B
U' D2 R2 B2 L U R
D U2 R' F2 L' D B2
D U2 R' F2 D L' B2
D U2 R' F2 D B2 L'
R' D2 F U' L2 R2 U
R' D2 F U' R2 L2 U
R' D2 F D' F2 B2 D
R' D2 F D' F2 B2 D'
R' D2 F D' F2 B2 D2
R' D2 F D' B2 F2 D
R' D2 F D' B2 F2 D'
R' D2 F D' B2 F2 D2
R' D2 F B D' F2 B2
R' D2 F B D' B2 F2
R' D2 F B' D' F2 B2
R' D2 F B' D' B2 F2
R' D2 F B2 D' F2 B2
R' D2 F B2 D' B2 F2
R' D2 F' U' L2 R2 U
R' D2 F' U' R2 L2 U
R' D2 F' D' F2 B2 D
R' D2 F' D' F2 B2 D'
R' D2 F' D' F2 B2 D2
R' D2 F' D' B2 F2 D
R' D2 F' D' B2 F2 D'
R' D2 F' D' B2 F2 D2
R' D2 F' B D' F2 B2
R' D2 F' B D' B2 F2
R' D2 F' B' D' F2 B2
R' D2 F' B' D' B2 F2
R' D2 F' B2 D' F2 B2
R' D2 F' B2 D' B2 F2
R' D2 F2 U' L2 R2 U
R' D2 F2 U' R2 L2 U
R' D2 F2 D' F2 B2 D
R' D2 F2 D' F2 B2 D'
R' D2 F2 D' F2 B2 D2
R' D2 F2 D' B2 F2 D
R' D2 F2 D' B2 F2 D'
R' D2 F2 D' B2 F2 D2
R' D2 F2 B D' F2 B2
R' D2 F2 B D' B2 F2
R' D2 F2 B' D' F2 B2
R' D2 F2 B' D' B2 F2
R' D2 F2 B2 D' F2 B2
R' D2 F2 B2 D' B2 F2
R' D2 B U' L2 R2 U
R' D2 B U' R2 L2 U
R' D2 B D' F2 B2 D
R' D2 B D' F2 B2 D'
R' D2 B D' F2 B2 D2
R' D2 B D' B2 F2 D
R' D2 B D' B2 F2 D'
R' D2 B D' B2 F2 D2
R' D2 B F D' F2 B2
R' D2 B F D' B2 F2
R' D2 B F' D' F2 B2
R' D2 B F' D' B2 F2
R' D2 B F2 D' F2 B2
R' D2 B F2 D' B2 F2
R' D2 B' U' L2 R2 U
R' D2 B' U' R2 L2 U
R' D2 B' D' F2 B2 D
R' D2 B' D' F2 B2 D'
R' D2 B' D' F2 B2 D2
R' D2 B' D' B2 F2 D
R' D2 B' D' B2 F2 D'
R' D2 B' D' B2 F2 D2
R' D2 B' F D' F2 B2
R' D2 B' F D' B2 F2
R' D2 B' F' D' F2 B2
R' D2 B' F' D' B2 F2
R' D2 B' F2 D' F2 B2
R' D2 B' F2 D' B2 F2
D' U2 B2 L U' R U'
R' D2 B2 U' L2 R2 U
R' D2 B2 U' R2 L2 U
R' D2 B2 D' F2 B2 D
R' D2 B2 D' F2 B2 D'
R' D2 B2 D' F2 B2 D2
R' D2 B2 D' B2 F2 D
R' D2 B2 D' B2 F2 D'
R' D2 B2 D' B2 F2 D2
R' D2 B2 F D' F2 B2
R' D2 B2 F D' B2 F2
R' D2 B2 F' D' F2 B2
R' D2 B2 F' D' B2 F2
R' D2 B2 F2 D' F2 B2
R' D2 B2 F2 D' B2 F2
F U2 D R' F2 L' B
F U2 D R' F2 B L'
F U2 D R' B F2 L'
R' F L2 R2 U' L2 R2
R' F L2 R2 U' R2 L2
F U2 D' B2 L U2 B'
L2 F L2 D R' F2 B
L2 F L2 D R' B F2
L2 F L2 D F2 R' B
U F L2 U' D R' B
U F L2 D U' R' B
R F L2 U' L2 R2 D
R F L2 U' L2 R2 D'
R F L2 U' L2 R2 D2
R F L2 U' R2 L2 D
R F L2 U' R2 L2 D'
R F L2 U' R2 L2 D2
U F L2 F' R U' R2
R F L2 D' F2 B2 U'
R F L2 D' B2 F2 U'
R F L2 F U' L2 R2
R F L2 F U' R2 L2
R F L2 F' U' L2 R2
R F L2 F' U' R2 L2
R F L2 F2 U' L2 R2
R F L2 F2 U' R2 L2
R F L2 B U' L2 R2
R F L2 B U' R2 L2
R F L2 B' U' L2 R2
R F L2 B' U' R2 L2
R F L2 B2 U' L2 R2
R F L2 B2 U' R2 L2
R' F R2 L2 U' L2 R2
R' F R2 L2 U' R2 L2
D F R' F U' L' U
R' F U L2 R2 U' D
R' F U L2 R2 U' D'
R' F U L2 R2 U' D2
R' F U L2 R2 D U'
R' F U L2 R2 D' U'
R' F U L2 R2 D2 U'
R' F U L2 U' D B2
R' F U L2 D U' B2
R' F U R2 L2 U' D
R' F U R2 L2 U' D'
R' F U R2 L2 U' D2
R' F U R2 L2 D U'
R' F U R2 L2 D' U'
R' F U R2 L2 D2 U'
R' F U R2 U' D F2
R' F U R2 D U' F2
R F R2 U L2 R2 U'
R F R2 U R2 L2 U'
R' F U' D2 L2 R2 U
R F R2 D F2 B2 D
R F R2 D F2 B2 D'
R F R2 D F2 B2 D2
R' F U' D2 R2 L2 U
R F R2 D B2 F2 D
R F R2 D B2 F2 D'
R F R2 D B2 F2 D2
R F R2 F D F2 B2
R F R2 F D B2 F2
R F R2 F' D F2 B2
R F R2 F' D B2 F2
R F R2 F2 D F2 B2
R F R2 F2 D B2 F2
R F R2 B D F2 B2
R F R2 B D B2 F2
L2 F U' L2 D R' B
R F R2 B' D F2 B2
R F R2 B' D B2 F2
R F R2 B2 D F2 B2
R F R2 B2 D B2 F2
R' F U2 D' F2 B2 U2
R' F U2 D' B2 F2 U2
R' F D L B2 L' F2
R' F D L' F2 L B2
R' F D L2 F2 L2 B2
R' F D L2 F2 B2 L2
R' F D L2 B2 L2 F2
R' F D L2 B2 F2 L2
U2 F U2 D R' F2 B
U2 F U2 D R' B F2
R' F D R F2 R' B2
F2 D L' U L R' F2
F2 D L' U L F2 R'
U2 F U2 D F2 R' B
F2 D L' U R' L F2
F2 D L' U R' F2 L
U F U' D R' F2 B
U F U' D R' B F2
F2 D L' U F2 L R'
F2 D L' U F2 R' L
U F U' D F2 R' B
R' F D R' B2 R F2
D' F D R' D F2 B
D' F D R' D B F2
F D L R' B L' F2
D' F D R' B D F2
R' F D R2 F2 R2 B2
R' F D R2 F2 B2 R2
R' F D R2 B2 R2 F2
D2 F D R' D2 F2 B
D2 F D R' D2 B F2
R' F D R2 B2 F2 R2
R' F D F B2 D F
R' F D F B2 D' F
R' F D F B2 D2 F
R' F D F' B2 D F'
R' F D F' B2 D' F'
R' F D F' B2 D2 F'
R' F D F2 L B2 L'
R' F D F2 L2 B2 L2
R' F D F2 R' B2 R
R' F D F2 R2 B2 R2
R' F D F2 B D B
R' F D F2 B D' B
R' F D F2 B D2 B
R' F D F2 B' D B'
R' F D F2 B' D' B'
R' F D F2 B' D2 B'
R' F D B F2 D B
R' F D B F2 D' B
R' F D B F2 D2 B
R' F D B' F2 D B'
R' F D B' F2 D' B'
R' F D B' F2 D2 B'
R' F D B2 L' F2 L
R' F D B2 L2 F2 L2
R' F D B2 R F2 R'
R' F D B2 R2 F2 R2
R' F D B2 F D F
R' F D B2 F D' F
R' F D B2 F D2 F
R' F D B2 F' D F'
R' F D B2 F' D' F'
R' F D B2 F' D2 F'
U2 F D R' F2 L' B
U2 F D R' F2 B L'
U2 F D R' B F2 L'
F D L' R' F2 L B
U2 F D U2 R' F2 B
U2 F D U2 R' B F2
U2 F D U2 F2 R' B
R' F D' U2 F2 B2 U2
R' F D' U2 B2 F2 U2
D F D R' D F B
D F D R' D B F
D F D R' D' F B
D F D R' D' B F
D F D R' D2 F B
D F D R' D2 B F
D F D R' F D B
D F D R' F D' B
D F D R' F D2 B
D F D R' F B D
D F D R' F B D'
D F D R' F B D2
D F D R' B D F
D F D R' B D' F
D F D R' B D2 F
D F D R' B F D
D F D R' B F D'
D F D R' B F D2
D2 F D' F2 D2 R' B
F D L' F2 L R' B
F D L' F2 R' L B
D F D F R' D B
D F D F R' D' B
D F D F R' D2 B
D F D F R' B D
D F D F R' B D'
D F D F R' B D2
D F D F' R' F2 B
D F D F' R' B F2
U F D U' R' F2 B
U F D U' R' B F2
F D L2 R' F2 L2 B
F D L2 R' F2 B L2
F D L2 R' B L2 F2
F D L2 R' B F2 L2
U F D U' F2 R' B
R' F D2 U' L2 R2 U
R' F D2 U' R2 L2 U
R' F D2 F D' F2 B2
R' F D2 F D' B2 F2
R' F D2 F' D' F2 B2
R' F D2 F' D' B2 F2
U2 F D' B2 L U2 B'
R' F D2 F2 D' F2 B2
R' F D2 F2 D' B2 F2
D' F D2 F2 D' R' B
R' F D2 B D' F2 B2
R' F D2 B D' B2 F2
R' F D2 B' D' F2 B2
R' F D2 B' D' B2 F2
R' F D2 B2 D' F2 B2
R' F D2 B2 D' B2 F2
F D L2 F2 L2 R' B
F D L2 F2 R' L2 B
F D L2 F2 R' B L2
D F D' F D2 R' B
F2 D R' U' L' U F2
R' F B U L2 R2 U'
R' F B U R2 L2 U'
R' F B D F2 B2 D
R' F B D F2 B2 D'
R' F B D F2 B2 D2
R' F B D B2 F2 D
R' F B D B2 F2 D'
R' F B D B2 F2 D2
B2 D R' F2 D B2 R'
F2 D R' F2 U R U'
D F D2 F D' R' B
F D R B R2 F2 B
F D R B R2 B F2
F D R B' R2 F2 B
F D R B' R2 B F2
F D R B2 R2 F2 B
F D R B2 R2 B F2
R' F B' U L2 R2 U'
R' F B' U R2 L2 U'
F D R' L B L' F2
F D R' L' F2 L B
F D R' L2 F2 L2 B
F D R' L2 F2 B L2
F D R' L2 B L2 F2
F D R' L2 B F2 L2
R' F B' D F2 B2 D
R' F B' D F2 B2 D'
R' F B' D F2 B2 D2
R' F B' D B2 F2 D
R' F B' D B2 F2 D'
R' F B' D B2 F2 D2
F D R' D B D' F2
F D R' D' B D F2
F D R' F D F B
F D R' F D B F
F D R' F D' F B
